seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-23941.0,4888.0,12107.0,-4123.0,-4332.0,15328.0,-4527.0,74.0,192.0,24,M,6,2019-06-17T17:31:26.021596
-23826.0,4850.0,12181.0,-4172.0,-4384.0,15342.0,-4483.0,74.0,192.0,24,M,6,2019-06-17T17:31:26.589766
-23807.0,4751.0,12124.0,-4121.0,-4614.0,15390.0,-4454.0,74.0,192.0,24,M,6,2019-06-17T17:31:27.195884
-23822.0,4617.0,12360.0,-4330.0,-4841.0,15426.0,-4474.0,74.0,192.0,24,M,6,2019-06-17T17:31:27.724859
-24006.0,4620.0,12246.0,-4271.0,-4790.0,15198.0,-4482.0,74.0,192.0,24,M,6,2019-06-17T17:31:28.331638
-24051.0,4719.0,12230.0,-4341.0,-4962.0,15193.0,-4456.0,74.0,192.0,24,M,6,2019-06-17T17:31:28.859913
-23720.0,5190.0,12105.0,-4339.0,-5105.0,15630.0,-4484.0,74.0,192.0,24,M,6,2019-06-17T17:31:29.467370
-23486.0,5190.0,11991.0,-4300.0,-5174.0,15577.0,-4428.0,74.0,192.0,24,M,6,2019-06-17T17:31:29.994990
-23239.0,4996.0,12062.0,-4463.0,-5242.0,15637.0,-4436.0,74.0,192.0,24,M,6,2019-06-17T17:31:30.562566
-23608.0,5044.0,12122.0,-4497.0,-5201.0,15536.0,-4498.0,74.0,192.0,24,M,6,2019-06-17T17:31:31.130042
-23682.0,5091.0,12141.0,-4562.0,-5318.0,15538.0,-4530.0,74.0,192.0,24,M,6,2019-06-17T17:31:31.697698
-23723.0,5122.0,12158.0,-4619.0,-5438.0,15311.0,-4495.0,74.0,192.0,24,M,6,2019-06-17T17:31:32.265134
-23607.0,5089.0,12076.0,-4626.0,-5455.0,15549.0,-4469.0,74.0,192.0,24,M,6,2019-06-17T17:31:32.832747
-23479.0,5074.0,12044.0,-4617.0,-5510.0,15696.0,-4479.0,74.0,192.0,24,M,6,2019-06-17T17:31:33.400244
-23673.0,5051.0,12144.0,-4662.0,-5564.0,15523.0,-4510.0,74.0,192.0,24,M,6,2019-06-17T17:31:33.967736
-24058.0,5352.0,12030.0,-4707.0,-4498.0,16722.0,-4414.0,74.0,192.0,24,M,6,2019-06-17T17:31:34.535279
-23923.0,4984.0,12176.0,-4741.0,-4919.0,15498.0,-4457.0,74.0,192.0,24,M,6,2019-06-17T17:31:35.145591
-23774.0,5217.0,11972.0,-4719.0,-5241.0,15336.0,-4481.0,74.0,192.0,24,M,6,2019-06-17T17:31:35.670326
-23474.0,5288.0,11968.0,-4791.0,-5503.0,15342.0,-4410.0,74.0,192.0,24,M,6,2019-06-17T17:31:36.237775
-23742.0,5128.0,11957.0,-4723.0,-5631.0,15034.0,-4507.0,74.0,192.0,24,M,6,2019-06-17T17:31:36.805239
9535.0,51301.0,4413.0,271.0,2620.0,9092.0,-11811.0,49.0,160.0,58,F,6,2019-06-19T14:17:08.687989
9831.0,52181.0,4334.0,141.0,2490.0,8998.0,-11793.0,49.0,160.0,58,F,6,2019-06-19T14:17:09.275782
9852.0,54302.0,4172.0,161.0,2532.0,9018.0,-11718.0,49.0,160.0,58,F,6,2019-06-19T14:17:09.843887
9505.0,53803.0,4269.0,217.0,2486.0,9199.0,-11763.0,49.0,160.0,58,F,6,2019-06-19T14:17:10.445054
9030.0,55006.0,4153.0,159.0,2647.0,9147.0,-11753.0,49.0,160.0,58,F,6,2019-06-19T14:17:10.980159
9130.0,54866.0,4185.0,138.0,2437.0,8316.0,-11820.0,49.0,160.0,58,F,6,2019-06-19T14:17:11.581866
9094.0,56295.0,3952.0,205.0,2413.0,8559.0,-11803.0,49.0,160.0,58,F,6,2019-06-19T14:17:12.116387
9807.0,57647.0,3799.0,97.0,2304.0,8688.0,-11800.0,49.0,160.0,58,F,6,2019-06-19T14:17:12.718591
9429.0,58870.0,3992.0,263.0,2538.0,8436.0,-11788.0,49.0,160.0,58,F,6,2019-06-19T14:17:13.252699
8214.0,64823.0,4132.0,151.0,3898.0,7834.0,-11811.0,49.0,160.0,58,F,6,2019-06-19T14:17:13.855279
8569.0,59765.0,4086.0,156.0,3650.0,8096.0,-11777.0,49.0,160.0,58,F,6,2019-06-19T14:17:14.388698
9645.0,52470.0,3766.0,206.0,3092.0,8456.0,-11811.0,49.0,160.0,58,F,6,2019-06-19T14:17:14.991831
9269.0,54623.0,4341.0,186.0,3114.0,8708.0,-11806.0,49.0,160.0,58,F,6,2019-06-19T14:17:15.525260
7047.0,46779.0,4436.0,134.0,4400.0,7169.0,-11687.0,49.0,160.0,58,F,6,2019-06-19T14:17:16.128727
1734.0,46162.0,4977.0,185.0,6293.0,5512.0,-11705.0,49.0,160.0,58,F,6,2019-06-19T14:17:16.661552
-2580.0,53973.0,5339.0,206.0,5920.0,6810.0,-11663.0,49.0,160.0,58,F,6,2019-06-19T14:17:17.265452
857.0,54513.0,4284.0,276.0,5556.0,5355.0,-11572.0,49.0,160.0,58,F,6,2019-06-19T14:17:17.797847
2472.0,57201.0,4510.0,113.0,5467.0,6761.0,-11648.0,49.0,160.0,58,F,6,2019-06-19T14:17:18.402216
2537.0,51562.0,4240.0,147.0,5393.0,6999.0,-11656.0,49.0,160.0,58,F,6,2019-06-19T14:17:18.933988
1733.0,53400.0,4558.0,86.0,5253.0,6244.0,-11634.0,49.0,160.0,58,F,6,2019-06-19T14:17:19.538887
81564.0,41994.0,42914.0,7257.0,11426.0,18499.0,1041.0,66.0,168.0,23,M,6,2019-06-18T15:50:00.822328
82483.0,42032.0,42900.0,7388.0,11432.0,18845.0,1097.0,66.0,168.0,23,M,6,2019-06-18T15:50:01.390391
84184.0,41660.0,43212.0,7513.0,11423.0,18871.0,1207.0,66.0,168.0,23,M,6,2019-06-18T15:50:01.957701
81091.0,41956.0,43312.0,7385.0,11480.0,18542.0,1077.0,66.0,168.0,23,M,6,2019-06-18T15:50:02.525289
82166.0,42188.0,43565.0,7402.0,11345.0,18658.0,1056.0,66.0,168.0,23,M,6,2019-06-18T15:50:03.092719
81691.0,42177.0,43549.0,7490.0,11344.0,18777.0,1157.0,66.0,168.0,23,M,6,2019-06-18T15:50:03.660394
82136.0,42136.0,43371.0,7561.0,11356.0,18708.0,1118.0,66.0,168.0,23,M,6,2019-06-18T15:50:04.227927
84171.0,41703.0,43296.0,7643.0,11403.0,16254.0,1105.0,66.0,168.0,23,M,6,2019-06-18T15:50:04.795447
81978.0,41969.0,43302.0,7726.0,11464.0,16561.0,1193.0,66.0,168.0,23,M,6,2019-06-18T15:50:05.362923
85712.0,42254.0,43488.0,7697.0,11350.0,18296.0,1193.0,66.0,168.0,23,M,6,2019-06-18T15:50:05.930414
86178.0,41793.0,43248.0,7734.0,11340.0,17124.0,1268.0,66.0,168.0,23,M,6,2019-06-18T15:50:06.497929
85994.0,41615.0,43499.0,7810.0,11351.0,16339.0,1213.0,66.0,168.0,23,M,6,2019-06-18T15:50:07.064745
85514.0,41485.0,43382.0,7922.0,11434.0,16218.0,1172.0,66.0,168.0,23,M,6,2019-06-18T15:50:07.632902
85611.0,41482.0,43514.0,7934.0,11499.0,16152.0,1164.0,66.0,168.0,23,M,6,2019-06-18T15:50:08.200340
85890.0,41332.0,43384.0,7950.0,11435.0,15729.0,1204.0,66.0,168.0,23,M,6,2019-06-18T15:50:08.767874
89280.0,41854.0,43110.0,7579.0,11433.0,16185.0,1306.0,66.0,168.0,23,M,6,2019-06-18T15:50:09.335528
87334.0,42841.0,43656.0,7357.0,11394.0,15636.0,1133.0,66.0,168.0,23,M,6,2019-06-18T15:50:09.902766
86930.0,42787.0,43582.0,7417.0,11329.0,15591.0,1284.0,66.0,168.0,23,M,6,2019-06-18T15:50:10.471414
86594.0,42936.0,43730.0,7556.0,11356.0,15730.0,1315.0,66.0,168.0,23,M,6,2019-06-18T15:50:11.037798
87451.0,42666.0,43658.0,7555.0,11390.0,15939.0,1367.0,66.0,168.0,23,M,6,2019-06-18T15:50:11.607032
42081.0,33676.0,27069.0,11891.0,6402.0,12612.0,-488.0,60.0,180.0,26,M,6,2019-06-19T11:39:17.190869
42228.0,33636.0,27037.0,11920.0,6800.0,12457.0,-520.0,60.0,180.0,26,M,6,2019-06-19T11:39:17.758533
42093.0,33568.0,27162.0,11925.0,6866.0,12231.0,-547.0,60.0,180.0,26,M,6,2019-06-19T11:39:18.326054
41793.0,33563.0,26834.0,11890.0,7232.0,12094.0,-517.0,60.0,180.0,26,M,6,2019-06-19T11:39:18.893620
41602.0,33549.0,26682.0,11933.0,6146.0,11974.0,-496.0,60.0,180.0,26,M,6,2019-06-19T11:39:19.461393
40820.0,33330.0,26656.0,11955.0,5279.0,11916.0,-441.0,60.0,180.0,26,M,6,2019-06-19T11:39:20.029048
41963.0,33282.0,26575.0,11917.0,5007.0,11510.0,-521.0,60.0,180.0,26,M,6,2019-06-19T11:39:20.596759
41689.0,33248.0,26452.0,11942.0,4733.0,11585.0,-487.0,60.0,180.0,26,M,6,2019-06-19T11:39:21.164214
39856.0,33214.0,26492.0,11937.0,4213.0,12970.0,-502.0,60.0,180.0,26,M,6,2019-06-19T11:39:21.732027
41361.0,32884.0,26567.0,11950.0,4203.0,12032.0,-530.0,60.0,180.0,26,M,6,2019-06-19T11:39:22.299664
40751.0,33054.0,26452.0,11822.0,4076.0,11904.0,-563.0,60.0,180.0,26,M,6,2019-06-19T11:39:22.867377
41324.0,33348.0,26422.0,11900.0,3953.0,11884.0,-589.0,60.0,180.0,26,M,6,2019-06-19T11:39:23.435070
41281.0,33276.0,26357.0,11857.0,3626.0,11727.0,-609.0,60.0,180.0,26,M,6,2019-06-19T11:39:24.002597
41217.0,33201.0,26320.0,11827.0,3320.0,11534.0,-589.0,60.0,180.0,26,M,6,2019-06-19T11:39:24.570327
41195.0,33184.0,26259.0,11876.0,3279.0,11427.0,-629.0,60.0,180.0,26,M,6,2019-06-19T11:39:25.137830
41338.0,33149.0,26306.0,11849.0,3308.0,11272.0,-564.0,60.0,180.0,26,M,6,2019-06-19T11:39:25.705507
41189.0,33103.0,26301.0,11759.0,3504.0,11251.0,-610.0,60.0,180.0,26,M,6,2019-06-19T11:39:26.273101
41046.0,33112.0,26345.0,11910.0,3536.0,11337.0,-627.0,60.0,180.0,26,M,6,2019-06-19T11:39:26.840719
40902.0,33129.0,26409.0,11881.0,3350.0,11424.0,-613.0,60.0,180.0,26,M,6,2019-06-19T11:39:27.408199
41235.0,33154.0,26252.0,11817.0,3546.0,11338.0,-695.0,60.0,180.0,26,M,6,2019-06-19T11:39:27.975798
10128.0,34029.0,20145.0,-47.0,2900.0,9780.0,-1579.0,87.0,175.0,26,M,6,2019-06-19T14:57:50.361483
10079.0,34111.0,21412.0,59.0,2381.0,7609.0,-1552.0,87.0,175.0,26,M,6,2019-06-19T14:57:50.926186
11906.0,33497.0,27253.0,-96.0,2140.0,7183.0,-1576.0,87.0,175.0,26,M,6,2019-06-19T14:57:51.497192
10651.0,33845.0,23665.0,-236.0,2040.0,4007.0,-1599.0,87.0,175.0,26,M,6,2019-06-19T14:57:52.059523
9310.0,35510.0,20726.0,-182.0,3217.0,11370.0,-1627.0,87.0,175.0,26,M,6,2019-06-19T14:57:52.633097
9985.0,33696.0,20866.0,-229.0,3237.0,10373.0,-1579.0,87.0,175.0,26,M,6,2019-06-19T14:57:53.193989
10129.0,34971.0,20851.0,-130.0,2897.0,9764.0,-1571.0,87.0,175.0,26,M,6,2019-06-19T14:57:53.768962
10572.0,33873.0,21278.0,-246.0,2721.0,8965.0,-1543.0,87.0,175.0,26,M,6,2019-06-19T14:57:54.328253
10590.0,33462.0,20848.0,-201.0,2707.0,8878.0,-1517.0,87.0,175.0,26,M,6,2019-06-19T14:57:54.904555
10500.0,33278.0,20613.0,-198.0,2795.0,8701.0,-1595.0,87.0,175.0,26,M,6,2019-06-19T14:57:55.462499
10772.0,33175.0,21090.0,-234.0,2820.0,9042.0,-1501.0,87.0,175.0,26,M,6,2019-06-19T14:57:56.040000
10557.0,33486.0,20831.0,-219.0,2921.0,8725.0,-1500.0,87.0,175.0,26,M,6,2019-06-19T14:57:56.596797
10319.0,33487.0,20869.0,-280.0,2864.0,8769.0,-1531.0,87.0,175.0,26,M,6,2019-06-19T14:57:57.175684
9697.0,34296.0,20488.0,-275.0,2749.0,9939.0,-1498.0,87.0,175.0,26,M,6,2019-06-19T14:57:57.731130
10192.0,35646.0,20061.0,-319.0,2425.0,8040.0,-1493.0,87.0,175.0,26,M,6,2019-06-19T14:57:58.311646
10141.0,35510.0,20191.0,-226.0,2492.0,8290.0,-1500.0,87.0,175.0,26,M,6,2019-06-19T14:57:58.864925
10432.0,34697.0,19337.0,-223.0,2455.0,6725.0,-1485.0,87.0,175.0,26,M,6,2019-06-19T14:57:59.447306
9403.0,34382.0,19995.0,-303.0,2820.0,7719.0,-1481.0,87.0,175.0,26,M,6,2019-06-19T14:57:59.999881
9915.0,35119.0,19705.0,-308.0,2609.0,7381.0,-1482.0,87.0,175.0,26,M,6,2019-06-19T14:58:00.582960
11026.0,34688.0,20357.0,-435.0,2358.0,6865.0,-1547.0,87.0,175.0,26,M,6,2019-06-19T14:58:01.134078
36501.0,30657.0,17116.0,11032.0,20236.0,24981.0,4335.0,75.0,172.0,25,M,6,2019-06-18T12:16:48.494334
35862.0,30934.0,17332.0,10962.0,19611.0,24115.0,4519.0,75.0,172.0,25,M,6,2019-06-18T12:16:49.093229
35381.0,31208.0,17492.0,11039.0,19117.0,23891.0,4573.0,75.0,172.0,25,M,6,2019-06-18T12:16:49.660921
35135.0,31269.0,17336.0,11019.0,18718.0,24105.0,4489.0,75.0,172.0,25,M,6,2019-06-18T12:16:50.251239
34731.0,31358.0,17285.0,11038.0,18520.0,23873.0,4221.0,75.0,172.0,25,M,6,2019-06-18T12:16:50.797767
34873.0,31615.0,17335.0,11156.0,18320.0,23829.0,4572.0,75.0,172.0,25,M,6,2019-06-18T12:16:51.387915
34567.0,31568.0,17131.0,11127.0,18221.0,23930.0,4450.0,75.0,172.0,25,M,6,2019-06-18T12:16:51.934118
34754.0,31633.0,17056.0,11135.0,18109.0,24265.0,4439.0,75.0,172.0,25,M,6,2019-06-18T12:16:52.524714
34699.0,31434.0,17015.0,11137.0,18075.0,23860.0,4474.0,75.0,172.0,25,M,6,2019-06-18T12:16:53.069924
34356.0,31374.0,16700.0,11147.0,17942.0,23154.0,4262.0,75.0,172.0,25,M,6,2019-06-18T12:16:53.661434
34900.0,31585.0,16619.0,11202.0,17700.0,22800.0,4577.0,75.0,172.0,25,M,6,2019-06-18T12:16:54.206836
34790.0,31644.0,16619.0,11207.0,17823.0,22733.0,4582.0,75.0,172.0,25,M,6,2019-06-18T12:16:54.798290
34676.0,31608.0,16766.0,11170.0,17790.0,22688.0,4528.0,75.0,172.0,25,M,6,2019-06-18T12:16:55.343107
34519.0,31577.0,16593.0,11131.0,18008.0,22710.0,4381.0,75.0,172.0,25,M,6,2019-06-18T12:16:55.934987
34612.0,31628.0,16480.0,11069.0,17971.0,22697.0,4305.0,75.0,172.0,25,M,6,2019-06-18T12:16:56.479469
35404.0,31828.0,16517.0,11311.0,17772.0,22263.0,4712.0,75.0,172.0,25,M,6,2019-06-18T12:16:57.071457
34667.0,32370.0,16656.0,11338.0,17306.0,21527.0,5023.0,75.0,172.0,25,M,6,2019-06-18T12:16:57.615816
35336.0,31763.0,16508.0,11395.0,17395.0,20420.0,5130.0,75.0,172.0,25,M,6,2019-06-18T12:16:58.208550
35037.0,32520.0,16918.0,11064.0,16828.0,21283.0,5095.0,75.0,172.0,25,M,6,2019-06-18T12:16:58.752092
35148.0,32798.0,16746.0,11136.0,16785.0,21438.0,5156.0,75.0,172.0,25,M,6,2019-06-18T12:16:59.345323
24925.0,41056.0,30439.0,8306.0,23641.0,24712.0,6462.0,70.0,180.0,22,F,6,2019-06-18T12:48:04.931090
24788.0,40953.0,30344.0,8533.0,23285.0,25438.0,6411.0,70.0,180.0,22,F,6,2019-06-18T12:48:05.489410
25139.0,40703.0,29977.0,8607.0,22845.0,24901.0,6395.0,70.0,180.0,22,F,6,2019-06-18T12:48:06.067503
25175.0,40600.0,29991.0,8649.0,22466.0,24762.0,6516.0,70.0,180.0,22,F,6,2019-06-18T12:48:06.625294
25081.0,40694.0,30083.0,8751.0,22070.0,24557.0,6467.0,70.0,180.0,22,F,6,2019-06-18T12:48:07.203532
25070.0,40624.0,30183.0,8892.0,21743.0,24039.0,6480.0,70.0,180.0,22,F,6,2019-06-18T12:48:07.760887
25068.0,40541.0,30163.0,8707.0,21312.0,24223.0,6406.0,70.0,180.0,22,F,6,2019-06-18T12:48:08.339675
25182.0,40412.0,30127.0,8750.0,21105.0,24517.0,6450.0,70.0,180.0,22,F,6,2019-06-18T12:48:08.896646
25305.0,40293.0,29829.0,8690.0,20785.0,24491.0,6515.0,70.0,180.0,22,F,6,2019-06-18T12:48:09.475649
25287.0,40379.0,29898.0,8809.0,20481.0,23990.0,6533.0,70.0,180.0,22,F,6,2019-06-18T12:48:10.032324
25344.0,40343.0,29924.0,8854.0,20206.0,24300.0,6513.0,70.0,180.0,22,F,6,2019-06-18T12:48:10.611647
25064.0,40521.0,29860.0,8750.0,20035.0,24383.0,6520.0,70.0,180.0,22,F,6,2019-06-18T12:48:11.167865
25126.0,40433.0,30038.0,8775.0,19889.0,24555.0,6537.0,70.0,180.0,22,F,6,2019-06-18T12:48:11.747756
25049.0,40251.0,30252.0,8814.0,19830.0,24549.0,6510.0,70.0,180.0,22,F,6,2019-06-18T12:48:12.303607
25152.0,40276.0,29992.0,8840.0,19686.0,24780.0,6562.0,70.0,180.0,22,F,6,2019-06-18T12:48:12.883565
25066.0,40186.0,30053.0,8879.0,19554.0,24641.0,6560.0,70.0,180.0,22,F,6,2019-06-18T12:48:13.439175
25010.0,40293.0,30111.0,8874.0,19362.0,24206.0,6519.0,70.0,180.0,22,F,6,2019-06-18T12:48:14.019512
24910.0,40301.0,30417.0,8980.0,19241.0,23996.0,6481.0,70.0,180.0,22,F,6,2019-06-18T12:48:14.574798
24861.0,40338.0,30459.0,8995.0,19159.0,24255.0,6513.0,70.0,180.0,22,F,6,2019-06-18T12:48:15.155404
24850.0,40333.0,30388.0,8977.0,19001.0,24470.0,6478.0,70.0,180.0,22,F,6,2019-06-18T12:48:15.710452
-610.0,37510.0,52539.0,3149.0,-5658.0,25549.0,-2687.0,60.0,173.0,21,M,6,2019-06-19T12:38:21.447538
-624.0,38486.0,52534.0,3090.0,-5723.0,25163.0,-2668.0,60.0,173.0,21,M,6,2019-06-19T12:38:22.015826
-580.0,38852.0,52170.0,3154.0,-5668.0,24834.0,-2691.0,60.0,173.0,21,M,6,2019-06-19T12:38:22.610064
-660.0,39322.0,52118.0,3167.0,-5722.0,24919.0,-2660.0,60.0,173.0,21,M,6,2019-06-19T12:38:23.151589
-637.0,39598.0,51851.0,3232.0,-5734.0,25020.0,-2691.0,60.0,173.0,21,M,6,2019-06-19T12:38:23.746626
-696.0,39882.0,51786.0,3190.0,-5839.0,24961.0,-2632.0,60.0,173.0,21,M,6,2019-06-19T12:38:24.287663
-710.0,40168.0,51555.0,3268.0,-5753.0,24886.0,-2671.0,60.0,173.0,21,M,6,2019-06-19T12:38:24.882943
-688.0,40402.0,51578.0,3228.0,-5832.0,24922.0,-2613.0,60.0,173.0,21,M,6,2019-06-19T12:38:25.423353
-703.0,40616.0,51182.0,3397.0,-5875.0,24569.0,-2671.0,60.0,173.0,21,M,6,2019-06-19T12:38:26.019229
-782.0,40829.0,50851.0,3438.0,-5934.0,24644.0,-2644.0,60.0,173.0,21,M,6,2019-06-19T12:38:26.558876
-717.0,41049.0,51062.0,3403.0,-5974.0,24747.0,-2603.0,60.0,173.0,21,M,6,2019-06-19T12:38:27.155262
-728.0,40985.0,51058.0,3386.0,-5938.0,24709.0,-2645.0,60.0,173.0,21,M,6,2019-06-19T12:38:27.694548
-819.0,40898.0,50940.0,3468.0,-6004.0,24596.0,-2634.0,60.0,173.0,21,M,6,2019-06-19T12:38:28.291601
-809.0,41384.0,50816.0,3501.0,-5986.0,24320.0,-2604.0,60.0,173.0,21,M,6,2019-06-19T12:38:28.830332
-785.0,41314.0,50587.0,3570.0,-6077.0,24246.0,-2636.0,60.0,173.0,21,M,6,2019-06-19T12:38:29.427966
-874.0,41119.0,50697.0,3562.0,-6089.0,24086.0,-2607.0,60.0,173.0,21,M,6,2019-06-19T12:38:29.966103
-843.0,41320.0,51116.0,3541.0,-6104.0,23642.0,-2637.0,60.0,173.0,21,M,6,2019-06-19T12:38:30.564237
-865.0,41515.0,51208.0,3498.0,-6202.0,23654.0,-2593.0,60.0,173.0,21,M,6,2019-06-19T12:38:31.101742
-868.0,41746.0,50763.0,3540.0,-6160.0,24050.0,-2552.0,60.0,173.0,21,M,6,2019-06-19T12:38:31.700625
-898.0,41808.0,50462.0,3675.0,-6168.0,24396.0,-2600.0,60.0,173.0,21,M,6,2019-06-19T12:38:32.237610
9416.0,34996.0,32851.0,7329.0,2364.0,-8741.0,5496.0,73.0,173.0,24,M,6,2019-06-18T12:30:00.465701
9415.0,37151.0,33506.0,7469.0,2124.0,-8057.0,5441.0,73.0,173.0,24,M,6,2019-06-18T12:30:01.022564
9328.0,39554.0,35059.0,7582.0,2026.0,-7171.0,5383.0,73.0,173.0,24,M,6,2019-06-18T12:30:01.602401
9273.0,38739.0,33676.0,7677.0,1910.0,-7468.0,5393.0,73.0,173.0,24,M,6,2019-06-18T12:30:02.158488
9297.0,38427.0,32876.0,6727.0,1850.0,-7918.0,5420.0,73.0,173.0,24,M,6,2019-06-18T12:30:02.738945
9380.0,45033.0,35388.0,7160.0,1919.0,-7792.0,5398.0,73.0,173.0,24,M,6,2019-06-18T12:30:03.294361
9228.0,39853.0,33888.0,7196.0,1559.0,-6783.0,5367.0,73.0,173.0,24,M,6,2019-06-18T12:30:03.875503
9270.0,39616.0,32950.0,7518.0,1515.0,-3897.0,5337.0,73.0,173.0,24,M,6,2019-06-18T12:30:04.430222
9194.0,41963.0,32666.0,8226.0,1498.0,-972.0,5319.0,73.0,173.0,24,M,6,2019-06-18T12:30:05.011832
9127.0,40117.0,32258.0,8046.0,1498.0,-2368.0,5328.0,73.0,173.0,24,M,6,2019-06-18T12:30:05.565815
9140.0,39521.0,32599.0,7987.0,1403.0,-3029.0,5284.0,73.0,173.0,24,M,6,2019-06-18T12:30:06.148286
9108.0,40036.0,32825.0,8238.0,1399.0,-3766.0,5206.0,73.0,173.0,24,M,6,2019-06-18T12:30:06.701803
9156.0,40619.0,33078.0,8412.0,1487.0,-4292.0,5258.0,73.0,173.0,24,M,6,2019-06-18T12:30:07.284787
9124.0,39261.0,32455.0,8614.0,1421.0,-4733.0,5226.0,73.0,173.0,24,M,6,2019-06-18T12:30:07.837638
9091.0,39113.0,32608.0,8414.0,1410.0,-4993.0,5170.0,73.0,173.0,24,M,6,2019-06-18T12:30:08.421230
9139.0,39407.0,32857.0,8372.0,1461.0,-4682.0,5161.0,73.0,173.0,24,M,6,2019-06-18T12:30:08.973598
9073.0,40121.0,32527.0,8329.0,1508.0,-4217.0,5125.0,73.0,173.0,24,M,6,2019-06-18T12:30:09.557822
8979.0,40063.0,32920.0,8352.0,1615.0,-3874.0,5183.0,73.0,173.0,24,M,6,2019-06-18T12:30:10.109181
9083.0,39668.0,33143.0,8309.0,1588.0,-4167.0,5138.0,73.0,173.0,24,M,6,2019-06-18T12:30:10.694324
9018.0,39919.0,33559.0,8539.0,1689.0,-4008.0,5092.0,73.0,173.0,24,M,6,2019-06-18T12:30:11.245032
-4518.0,-23566.0,20447.0,-3701.0,-16069.0,31502.0,-3383.0,85.0,179.0,25,M,6,2019-06-17T17:38:29.786718
-4602.0,-24003.0,21415.0,-3568.0,-16178.0,31629.0,-3389.0,85.0,179.0,25,M,6,2019-06-17T17:38:30.381488
-3971.0,-23605.0,20792.0,-3228.0,-16110.0,31825.0,-3379.0,85.0,179.0,25,M,6,2019-06-17T17:38:30.922441
-4522.0,-23358.0,21039.0,-3222.0,-16187.0,31531.0,-3313.0,85.0,179.0,25,M,6,2019-06-17T17:38:31.517148
-4445.0,-23264.0,20457.0,-3118.0,-16384.0,31038.0,-3365.0,85.0,179.0,25,M,6,2019-06-17T17:38:32.057489
-4939.0,-23540.0,20742.0,-3218.0,-16339.0,31488.0,-3323.0,85.0,179.0,25,M,6,2019-06-17T17:38:32.652681
-6069.0,-23558.0,21365.0,-2926.0,-16131.0,30418.0,-3303.0,85.0,179.0,25,M,6,2019-06-17T17:38:33.192261
-6381.0,-23648.0,22348.0,-2946.0,-16164.0,31305.0,-3282.0,85.0,179.0,25,M,6,2019-06-17T17:38:33.788307
-6124.0,-23637.0,22098.0,-3006.0,-16211.0,31292.0,-3335.0,85.0,179.0,25,M,6,2019-06-17T17:38:34.327737
-5901.0,-24123.0,22144.0,-3132.0,-16254.0,31045.0,-3281.0,85.0,179.0,25,M,6,2019-06-17T17:38:34.923855
-5767.0,-23660.0,22332.0,-2993.0,-16260.0,31213.0,-3317.0,85.0,179.0,25,M,6,2019-06-17T17:38:35.462692
-6037.0,-23531.0,22065.0,-3014.0,-16336.0,31476.0,-3332.0,85.0,179.0,25,M,6,2019-06-17T17:38:36.059014
-5923.0,-23517.0,21969.0,-2747.0,-16261.0,30809.0,-3346.0,85.0,179.0,25,M,6,2019-06-17T17:38:36.598427
-6232.0,-23644.0,21263.0,-2832.0,-16204.0,30774.0,-3316.0,85.0,179.0,25,M,6,2019-06-17T17:38:37.194902
-6091.0,-23581.0,21198.0,-2924.0,-16049.0,31208.0,-3325.0,85.0,179.0,25,M,6,2019-06-17T17:38:37.733301
-6465.0,-23544.0,21229.0,-2816.0,-16090.0,31114.0,-3274.0,85.0,179.0,25,M,6,2019-06-17T17:38:38.330518
-6119.0,-23735.0,20573.0,-2689.0,-16017.0,31796.0,-3309.0,85.0,179.0,25,M,6,2019-06-17T17:38:38.868374
-6485.0,-23607.0,20700.0,-2769.0,-16075.0,31788.0,-3375.0,85.0,179.0,25,M,6,2019-06-17T17:38:39.466178
-5999.0,-23737.0,20595.0,-2678.0,-16147.0,32458.0,-3352.0,85.0,179.0,25,M,6,2019-06-17T17:38:40.003878
-6394.0,-23749.0,20641.0,-2615.0,-16107.0,32099.0,-3383.0,85.0,179.0,25,M,6,2019-06-17T17:38:40.602049
17661.0,21770.0,25069.0,7289.0,-4988.0,78314.0,942.0,69.0,181.0,23,M,6,2019-06-18T16:46:09.280370
17942.0,22186.0,25079.0,7481.0,-5322.0,72065.0,976.0,69.0,181.0,23,M,6,2019-06-18T16:46:09.891195
17611.0,22159.0,24997.0,7488.0,-5460.0,69543.0,993.0,69.0,181.0,23,M,6,2019-06-18T16:46:10.415312
17911.0,22777.0,25155.0,7423.0,-5658.0,67493.0,882.0,69.0,181.0,23,M,6,2019-06-18T16:46:10.983180
18046.0,23129.0,25168.0,7438.0,-5698.0,65783.0,1007.0,69.0,181.0,23,M,6,2019-06-18T16:46:11.550837
17599.0,22755.0,25205.0,7438.0,-5704.0,66518.0,973.0,69.0,181.0,23,M,6,2019-06-18T16:46:12.118312
17474.0,22543.0,25047.0,7418.0,-5781.0,65504.0,958.0,69.0,181.0,23,M,6,2019-06-18T16:46:12.686057
17656.0,22848.0,25034.0,7544.0,-5773.0,66304.0,1024.0,69.0,181.0,23,M,6,2019-06-18T16:46:13.253736
17595.0,22926.0,25049.0,7491.0,-5784.0,65550.0,1072.0,69.0,181.0,23,M,6,2019-06-18T16:46:13.821320
17302.0,22684.0,24939.0,7356.0,-5747.0,64328.0,1028.0,69.0,181.0,23,M,6,2019-06-18T16:46:14.388902
